Completion Note,Keywords for 1,Keywords for 2,Keywords for 3
"Left oven 
Cook count 248524
208v
No errors 

Inspected oven
Could not duplicate customer complaint 
L mag 8.7
R mag 8.6
Heater 9.8
All other functions working properly 
Cook plate and stubs look to be in good condition 
All other functions working properly
Closed with FCC at 0721pst","['cook', 'function', 'mag', 'work', '0721pst', '248524208vno', '86heater', '87r', '98all', 'complaint', 'condition', 'count', 'customer', 'duplicate', 'error', 'fcc', 'good', 'inspect', 'leave', 'look', 'oven', 'ovencould', 'plate', 'properly', 'properlyclose', 'stub']","['248524208vno error', '86heater 98all', '87r mag', '98all function', 'complaint mag', 'condition function', 'cook count', 'cook plate', 'count 248524208vno', 'customer complaint', 'duplicate customer', 'error inspect', 'fcc 0721pst', 'function work', 'good condition', 'inspect ovencould', 'leave oven', 'look good', 'mag 86heater', 'mag 87r', 'oven cook', 'ovencould duplicate', 'plate stub', 'properly cook', 'properlyclose fcc', 'stub look', 'work properly', 'work properlyclose']","['248524208vno error inspect', '86heater 98all function', '87r mag 86heater', '98all function work', 'complaint mag 87r', 'condition function work', 'cook count 248524208vno', 'cook plate stub', 'count 248524208vno error', 'customer complaint mag', 'duplicate customer complaint', 'error inspect ovencould', 'function work properly', 'function work properlyclose', 'good condition function', 'inspect ovencould duplicate', 'leave oven cook', 'look good condition', 'mag 86heater 98all', 'mag 87r mag', 'oven cook count', 'ovencould duplicate customer', 'plate stub look', 'properly cook plate', 'properlyclose fcc 0721pst', 'stub look good', 'work properly cook', 'work properlyclose fcc']"
"Left Oven
Cook Count: 160288
Faults: None
Voltage: 208(211)
Amps: Right: 8.6
             Left: 8.9
Heater Amps: 10.6

Issue: Found faulty display. 

Resolution: Replaced display

Dispatch Please Close with FCC","['106issue', '160288faults', '208211amp', '86', '89heater', 'amps', 'close', 'count', 'display', 'displaydispatch', 'faulty', 'fcc', 'leave', 'left', 'nonevoltage', 'ovencook', 'replace', 'resolution', 'right']","['106issue faulty', '160288faults nonevoltage', '208211amp right', '86 left', '89heater amps', 'amps 106issue', 'close fcc', 'count 160288faults', 'display resolution', 'displaydispatch close', 'faulty display', 'leave ovencook', 'left 89heater', 'nonevoltage 208211amp', 'ovencook count', 'replace displaydispatch', 'resolution replace', 'right 86']","['106issue faulty display', '160288faults nonevoltage 208211amp', '208211amp right 86', '86 left 89heater', '89heater amps 106issue', 'amps 106issue faulty', 'count 160288faults nonevoltage', 'display resolution replace', 'displaydispatch close fcc', 'faulty display resolution', 'leave ovencook count', 'left 89heater amps', 'nonevoltage 208211amp right', 'ovencook count 160288faults', 'replace displaydispatch close', 'resolution replace displaydispatch', 'right 86 left']"
"Left Oven
Cook Count: 282343
Faults: E116 No Heat
Voltage: 208(211)
Amps: Right: 8.7
             Left: 8.5
Heater Amps: 11.2

Issue: Found Oven Not Heating. SRB not sending power to heaters 

Resolution: Replaced SRB

Closed with FCC at 1148PST","['112issue', '1148pst', '208211amp', '282343faults', '85heater', '87', 'amps', 'count', 'e116', 'fcc', 'heater', 'heating', 'heatvoltage', 'leave', 'left', 'oven', 'ovencook', 'power', 'replace', 'resolution', 'right', 'send', 'srb', 'srbclosed']","['112issue oven', '208211amp right', '282343faults e116', '85heater amps', '87 left', 'amps 112issue', 'count 282343faults', 'e116 heatvoltage', 'fcc 1148pst', 'heater resolution', 'heating srb', 'heatvoltage 208211amp', 'leave ovencook', 'left 85heater', 'oven heating', 'ovencook count', 'power heater', 'replace srbclosed', 'resolution replace', 'right 87', 'send power', 'srb send', 'srbclosed fcc']","['112issue oven heating', '208211amp right 87', '282343faults e116 heatvoltage', '85heater amps 112issue', '87 left 85heater', 'amps 112issue oven', 'count 282343faults e116', 'e116 heatvoltage 208211amp', 'heater resolution replace', 'heating srb send', 'heatvoltage 208211amp right', 'leave ovencook count', 'left 85heater amps', 'oven heating srb', 'ovencook count 282343faults', 'power heater resolution', 'replace srbclosed fcc', 'resolution replace srbclosed', 'right 87 left', 'send power heater', 'srb send power', 'srbclosed fcc 1148pst']"
"Called store to give eta and SS had already cycled power
Oven operational 
PHR","['cycle', 'eta', 'operational', 'phr', 'poweroven', 'ss', 'store']","['cycle poweroven', 'eta ss', 'operational phr', 'poweroven operational', 'ss cycle', 'store eta']","['cycle poweroven operational', 'eta ss cycle', 'poweroven operational phr', 'ss cycle poweroven', 'store eta ss']"
"Left oven 
CC 310374
E101
208v

Found right magnetron not energizing 
Had burnt antennas and clogged
Replaced both mags and right side diode

After replacements 
Mags at 8.7 each
All other functions working properly","['right', '310374e101208vfound', '87', 'antenna', 'burn', 'cc', 'cloggedreplace', 'diodeafter', 'eachall', 'energize', 'function', 'leave', 'mag', 'magnetron', 'mags', 'oven', 'properly', 'replacement', 'work']","['310374e101208vfound right', '87 eachall', 'antenna cloggedreplace', 'burn antenna', 'cc 310374e101208vfound', 'cloggedreplace mag', 'diodeafter replacement', 'eachall function', 'energize burn', 'function work', 'leave oven', 'mag right', 'magnetron energize', 'mags 87', 'oven cc', 'replacement mags', 'right diodeafter', 'right magnetron', 'work properly']","['310374e101208vfound right magnetron', '87 eachall function', 'antenna cloggedreplace mag', 'burn antenna cloggedreplace', 'cc 310374e101208vfound right', 'cloggedreplace mag right', 'diodeafter replacement mags', 'eachall function work', 'energize burn antenna', 'function work properly', 'leave oven cc', 'mag right diodeafter', 'magnetron energize burn', 'mags 87 eachall', 'oven cc 310374e101208vfound', 'replacement mags 87', 'right diodeafter replacement', 'right magnetron energize']"
"Left oven 
CC 310374
E101
208v

Found right magnetron not energizing 
Had burnt antennas and clogged
Replaced both mags and right side diode

After replacements 
Mags at 8.7 each
All other functions working properly","['right', '310374e101208vfound', '87', 'antenna', 'burn', 'cc', 'cloggedreplace', 'diodeafter', 'eachall', 'energize', 'function', 'leave', 'mag', 'magnetron', 'mags', 'oven', 'properly', 'replacement', 'work']","['310374e101208vfound right', '87 eachall', 'antenna cloggedreplace', 'burn antenna', 'cc 310374e101208vfound', 'cloggedreplace mag', 'diodeafter replacement', 'eachall function', 'energize burn', 'function work', 'leave oven', 'mag right', 'magnetron energize', 'mags 87', 'oven cc', 'replacement mags', 'right diodeafter', 'right magnetron', 'work properly']","['310374e101208vfound right magnetron', '87 eachall function', 'antenna cloggedreplace mag', 'burn antenna cloggedreplace', 'cc 310374e101208vfound right', 'cloggedreplace mag right', 'diodeafter replacement mags', 'eachall function work', 'energize burn antenna', 'function work properly', 'leave oven cc', 'mag right diodeafter', 'magnetron energize burn', 'mags 87 eachall', 'oven cc 310374e101208vfound', 'replacement mags 87', 'right diodeafter replacement', 'right magnetron energize']"
Mag warranty,"['mag', 'warranty']",['mag warranty'],[]
"Oven: left
Cook Count: 325,222
Faults: 
Voltage: 208
Amps: Right: 8.5
             Left: 8.5
Heater Amps: 10.7

Issue: bad air filter switch 

Resolution: replaced air filter switch. Oven runs properly","['air', 'filter', 'oven', 'switch', '107issue', '208amp', '325222faults', '85', '85heater', 'amp', 'bad', 'count', 'left', 'leftcook', 'properly', 'replace', 'resolution', 'right', 'run', 'voltage']","['107issue bad', '208amp right', '325222faults voltage', '85 left', '85heater amp', 'air filter', 'amp 107issue', 'bad air', 'count 325222faults', 'filter switch', 'left 85heater', 'leftcook count', 'oven leftcook', 'oven run', 'replace air', 'resolution replace', 'right 85', 'run properly', 'switch oven', 'switch resolution', 'voltage 208amp']","['107issue bad air', '208amp right 85', '325222faults voltage 208amp', '85 left 85heater', '85heater amp 107issue', 'air filter switch', 'amp 107issue bad', 'bad air filter', 'count 325222faults voltage', 'filter switch oven', 'filter switch resolution', 'left 85heater amp', 'leftcook count 325222faults', 'oven leftcook count', 'oven run properly', 'replace air filter', 'resolution replace air', 'right 85 left', 'switch oven run', 'switch resolution replace', 'voltage 208amp right']"
"Called the store and spoke with Wanda. The oven is reading constant key press detected. Had Wanda power cycle oven. This fixed the issue. 

Closed with FCC at 1019PST","['oven', 'wanda', '1019pst', 'closed', 'constant', 'cycle', 'detect', 'fcc', 'fix', 'issue', 'key', 'power', 'press', 'read', 'speak', 'store']","['closed fcc', 'constant key', 'cycle oven', 'detect wanda', 'fcc 1019pst', 'fix issue', 'issue closed', 'key press', 'oven fix', 'oven read', 'power cycle', 'press detect', 'read constant', 'speak wanda', 'store speak', 'wanda oven', 'wanda power']","['closed fcc 1019pst', 'constant key press', 'cycle oven fix', 'detect wanda power', 'fix issue closed', 'issue closed fcc', 'key press detect', 'oven fix issue', 'oven read constant', 'power cycle oven', 'press detect wanda', 'read constant key', 'speak wanda oven', 'store speak wanda', 'wanda oven read', 'wanda power cycle']"
"Power cycled oven, ran diagnostic tests, downloaded error log

Oven operating nominally

Closed with FCC @ 1640 PST","['1640', 'cycle', 'diagnostic', 'download', 'error', 'fcc', 'logoven', 'nominallyclosed', 'operate', 'oven', 'power', 'pst', 'run', 'test']","['1640 pst', 'cycle oven', 'diagnostic test', 'download error', 'error logoven', 'fcc 1640', 'logoven operate', 'nominallyclosed fcc', 'operate nominallyclosed', 'oven run', 'power cycle', 'run diagnostic', 'test download']","['cycle oven run', 'diagnostic test download', 'download error logoven', 'error logoven operate', 'fcc 1640 pst', 'logoven operate nominallyclosed', 'nominallyclosed fcc 1640', 'operate nominallyclosed fcc', 'oven run diagnostic', 'power cycle oven', 'run diagnostic test', 'test download error']"
"Right Oven
Cook Count: 62935

Tested oven found control board reading 240v on a 208v circuit. Replaced SRB 

Left Mag: 8.6
Right Mag: 8.4
Heater: 11.4
Blower and all fans are operational. Set date and time. 


Closed with FCC at 1450PST","['mag', '114blower', '1450pst', '208v', '240v', '62935tested', '84heater', '86right', 'board', 'circuit', 'closed', 'control', 'count', 'date', 'fan', 'fcc', 'left', 'operational', 'oven', 'ovencook', 'read', 'replace', 'right', 'set', 'srb', 'time']","['114blower fan', '208v circuit', '240v 208v', '62935tested oven', '84heater 114blower', '86right mag', 'board read', 'circuit replace', 'closed fcc', 'control board', 'count 62935tested', 'date time', 'fan operational', 'fcc 1450pst', 'left mag', 'mag 84heater', 'mag 86right', 'operational set', 'oven control', 'ovencook count', 'read 240v', 'replace srb', 'right ovencook', 'set date', 'srb left', 'time closed']","['114blower fan operational', '208v circuit replace', '240v 208v circuit', '62935tested oven control', '84heater 114blower fan', '86right mag 84heater', 'board read 240v', 'circuit replace srb', 'closed fcc 1450pst', 'control board read', 'count 62935tested oven', 'date time closed', 'fan operational set', 'left mag 86right', 'mag 84heater 114blower', 'mag 86right mag', 'operational set date', 'oven control board', 'ovencook count 62935tested', 'read 240v 208v', 'replace srb left', 'right ovencook count', 'set date time', 'srb left mag', 'time closed fcc']"
"SS Wanda cycled power, oven now warming.","['cycle', 'oven', 'power', 'ss', 'wanda', 'warm']","['cycle power', 'oven warm', 'power oven', 'ss wanda', 'wanda cycle']","['cycle power oven', 'power oven warm', 'ss wanda cycle', 'wanda cycle power']"
"Right Oven
Cook Count: 169860
Faults: E116
Voltage: 208(210)
Amps: Right: 8.7
             Left: 8.3
Heater Amps: 10.2

Issue: Found SRB not sending power to heaters 

Resolution: Replaced SRB 

Closed with FCC at 0857PST","['right', 'srb', '0857pst', '102issue', '169860faults', '208210amps', '83heater', '87', 'amps', 'closed', 'count', 'e116voltage', 'fcc', 'heater', 'left', 'ovencook', 'power', 'replace', 'resolution', 'send']","['102issue srb', '169860faults e116voltage', '208210amps right', '83heater amps', '87 left', 'amps 102issue', 'closed fcc', 'count 169860faults', 'e116voltage 208210amps', 'fcc 0857pst', 'heater resolution', 'left 83heater', 'ovencook count', 'power heater', 'replace srb', 'resolution replace', 'right 87', 'right ovencook', 'send power', 'srb closed', 'srb send']","['102issue srb send', '169860faults e116voltage 208210amps', '208210amps right 87', '83heater amps 102issue', '87 left 83heater', 'amps 102issue srb', 'closed fcc 0857pst', 'count 169860faults e116voltage', 'e116voltage 208210amps right', 'heater resolution replace', 'left 83heater amps', 'ovencook count 169860faults', 'power heater resolution', 'replace srb closed', 'resolution replace srb', 'right 87 left', 'right ovencook count', 'send power heater', 'srb closed fcc', 'srb send power']"
"ISSUE REPORTED : magnetron failure 

PROBLEMS FOUND : magnetron failure , both mags damaged 

RESOLUTION: replaced both magnetrons with new. Turned oven on, checked ovens diagnostics and ran cook test cycle: oven is working to manufacture specs without having magnetron failure","['magnetron', 'failure', 'oven', 'check', 'cook', 'cycle', 'damage', 'diagnostic', 'issue', 'mag', 'manufacture', 'new', 'problems', 'replace', 'report', 'resolution', 'run', 'spec', 'test', 'turned', 'work']","['check oven', 'cook test', 'cycle oven', 'damage resolution', 'diagnostic run', 'failure mag', 'failure problems', 'issue report', 'mag damage', 'magnetron failure', 'magnetron new', 'manufacture spec', 'new turned', 'oven check', 'oven diagnostic', 'oven work', 'problems magnetron', 'replace magnetron', 'report magnetron', 'resolution replace', 'run cook', 'spec magnetron', 'test cycle', 'turned oven', 'work manufacture']","['check oven diagnostic', 'cook test cycle', 'cycle oven work', 'damage resolution replace', 'diagnostic run cook', 'failure mag damage', 'failure problems magnetron', 'issue report magnetron', 'mag damage resolution', 'magnetron failure mag', 'magnetron failure problems', 'magnetron new turned', 'manufacture spec magnetron', 'new turned oven', 'oven check oven', 'oven diagnostic run', 'oven work manufacture', 'problems magnetron failure', 'replace magnetron new', 'report magnetron failure', 'resolution replace magnetron', 'run cook test', 'spec magnetron failure', 'test cycle oven', 'turned oven check', 'work manufacture spec']"
